Target_Name,Predicted,Crystal
Q8IU85,146.0,98.0
Q16873,27.0,804.0
P42574,6.0,726.0
Q14832,21.0,148.0
Q0ED31,6.0,1581.0
O75716,1.0,0.0
Q460N3,104.0,201.0
P10636,36.0,640.0
P36888,869.0,178.0
P21589,85.0,204.0
P15056,1655.0,2887.0
O92139,427.0,78.0
Q86WV6,53.0,1068.0
Q9H4B4,271.0,20.0
Q9UM07,2737.0,116.0
Q13546,73.0,457.0
P80457,29.0,404.0
P08191,31.0,614.0
Q16539,4789.0,3962.0
Q873Y0,4.0,6.0
P10760,2.0,454.0
Q9H2X6,103.0,14.0
Q96Q15,158.0,142.0
Q9HBA0,448.0,426.0
O60218,83.0,286.0
O15264,421.0,88.0
Q9Y6M4,30.0,94.0
P15559,41.0,1394.0
P22734,291.0,2408.0
P07858,155.0,203.0
P28720,10.0,675.0
Q9QYJ6,3303.0,152.0
P06762,53.0,22.0
P41972,30.0,45.0
P14920,251.0,443.0
P9WK19,4.0,41.0
Q8IYT8,17.0,374.0
O14939,194.0,196.0
P35030,6.0,10.0
Q54A96,65.0,40.0
P21889,1.0,11.0
Q9H237,838.0,67.0
P12931,5011.0,1197.0
P21397,16.0,35.0
P23443,701.0,197.0
P14324,29.0,335.0
Q4Q5S8,19.0,768.0
Q13464,2298.0,880.0
P08235,423.0,150.0
Q8Z9U1,14.0,78.0
P53667,442.0,194.0
P68400,1095.0,2702.0
Q8N884,4.0,758.0
A2RP81,2.0,8.0
Q9P289,16.0,40.0
P00784,13.0,70.0
P13569,804.0,539.0
O95696,51.0,12.0
Q9NZ08,3.0,159.0
Q9Y2T5,396.0,46.0
Q86U86,215.0,202.0
Q8DQ18,13.0,19.0
Q6PL18,401.0,773.0
O35904,6399.0,714.0
P04058,217.0,1292.0
P24740,37.0,44.0
Q96RU2,541.0,91.0
O75460,341.0,287.0
O15075,179.0,147.0
P9WPA7,133.0,451.0
Q9NTG7,212.0,587.0
P21802,498.0,556.0
P0DMS8,468.0,16.0
P10378,4.0,254.0
