Target,Uniprot,Multiplicity
P43490_4o15,P43490,2
Q9Y233_4hf4,Q9Y233,1
P00918_3r16,P00918,3
P49841_6hk7,P49841,2
O75173_4wki,O75173,1
P22734_5k0c,P22734,5
O75530_5h19,O75530,2
Q6XEC0_4wmc,Q6XEC0,1
Q9BJF5_4ona,Q9BJF5,1
Q30NP1_5jur,Q30NP1,1
P9WMC1_5myn,P9WMC1,1
P56817_6pz4,P56817,3
O15164_4yax,O15164,1
P02766_3neo,P02766,1
Q9Y233_4tpm,Q9Y233,1
P24941_2w05,P24941,2
P78417_6mhc,P78417,1
O35904_5ncy,O35904,1
P03367_2pqz,P03367,2
P00918_1g52,P00918,3
Q9H7Z6_6oir,Q9H7Z6,1
Q13153_6b16,Q13153,1
P48730_4kbk,P48730,2
Q02750_4an3,Q02750,1
Q9UIF9_6fgl,Q9UIF9,2
O75164_6h4t,O75164,2
Q9H2K2_5nvf,Q9H2K2,2
Q9H2K2_4ui3,Q9H2K2,2
Q9STC1_4amx,Q9STC1,1
Q8TEK3_5dt2,Q8TEK3,1
P24941_2r3g,P24941,2
Q4DA54_4yrs,Q4DA54,1
P45452_5uwn,P45452,1
P07949_4cki,P07949,1
Q9K2N0_5mxr,Q9K2N0,2
P00517_2gnh,P00517,1
Q07820_6oqd,Q07820,1
Q16539_1w7h,Q16539,4
P03958_1a4m,P03958,1
Q9H2K2_5nsx,Q9H2K2,2
P00800_1z9g,P00800,12
P56817_2ph6,P56817,3
P37231_2p4y,P37231,2
P41148_6cyi,P41148,1
P45452_3wv1,P45452,1
P53041_5wg8,P53041,1
Q5RZ08_6dj2,Q5RZ08,1
P18031_2bgd,P18031,11
P00492_4rad,P00492,1
Q04631_4gtm,Q04631,1
Q9HXM1_5g10,Q9HXM1,2
Q08499_6njh,Q08499,3
Q7X9A9_3wq6,Q7X9A9,1
Q93YN9_4axd,Q93YN9,1
Q64610_5m0s,Q64610,1
P25779_3kku,P25779,1
P62937_6gjr,P62937,3
P00918_4r59,P00918,3
P49773_5wa9,P49773,2
P04035_3cd7,P04035,2
O60760_5aiv,O60760,1
P08254_1bqo,P08254,1
Q00955_3h0s,Q00955,5
Q6P6C2_4oct,Q6P6C2,1
Q6DE08_2vgo,Q6DE08,1
P18674_3lm1,P18674,1
O15151_3lbj,O15151,3
P08246_5a0c,P08246,1
Q04609_3d7f,Q04609,5
P24941_2c5y,P24941,3
Q8WSF8_2wnc,Q8WSF8,2
P28523_1m2r,P28523,1
Q4KMI8_3db8,Q4KMI8,1
P00533_5cau,P00533,1
A5K8L9_5xmt,A5K8L9,3
A5K1A2_4b12,A5K1A2,1
P55201_5em3,P55201,1
P07900_2xjj,P07900,1
P14061_1i5r,P14061,1
P04905_2gst,P04905,2
Q04609_4p4i,Q04609,5
P28907_4xjt,P28907,1
Q03111_6t1m,Q03111,1
Q13526_4tyo,Q13526,1
Q04631_1ni1,Q04631,1
Q8Q3H0_2cen,Q8Q3H0,1
P37268_3v66,P37268,1
P10275_3b67,P10275,4
Q965D7_3azb,Q965D7,2
P28482_5bue,P28482,4
Q8I5R7_4ydq,Q8I5R7,2
P04642_4ajk,P04642,1
Q8NFU5_6m8d,Q8NFU5,1
Q07343_1xm4,Q07343,1
P22736_3v3q,P22736,1
O43570_5llo,O43570,1
P55144_4ff8,P55144,1
A5K4U6_5hna,A5K4U6,1
Q9KPL5_4pd8,Q9KPL5,2
P55055_6s4u,P55055,1
O35904_5t2l,O35904,1
P11797_4z2i,P11797,1
